experiment_id,date,researcher,temperature_C,pressure_kPa,pH,yield_percent,duration_hours
EXP-0069,2024-03-09,Dr. Patel,28.9,101.5,6.66,90.5,7.9
EXP-0070,2024-03-10,Dr. Jones,25.4,103.5,6.75,92.3,2.9
EXP-0071,2024-03-11,Dr. Jones,28.1,101.6,7.05,93.2,5.6
EXP-0072,2024-03-12,Dr. Jones,29.0,100.7,7.21,93.2,4.3
EXP-0073,2024-03-13,Dr. Smith,23.2,95.9,7.16,77.1,7.8
EXP-0074,2024-03-14,Dr. Jones,21.1,98.7,6.78,86.4,7.1
EXP-0075,2024-03-15,Dr. Smith,22.3,97.7,7.45,76.3,7.0
EXP-0076,2024-03-16,Dr. Jones,24.3,97.4,7.24,87.6,4.8
EXP-0077,2024-03-17,Dr. Patel,28.2,104.7,7.05,85.2,4.5
EXP-0078,2024-03-18,Dr. Patel,28.6,98.9,7.11,95.4,3.6
EXP-0079,2024-03-19,Dr. Chen,20.1,103.9,6.92,83.1,2.3
EXP-0080,2024-03-20,Dr. Patel,25.1,101.3,6.75,77.7,7.2
EXP-0081,2024-03-21,Dr. Chen,24.2,102.9,6.86,78.3,6.9
EXP-0082,2024-03-22,Dr. Patel,22.2,100.0,7.26,92.5,8.0
EXP-0083,2024-03-23,Dr. Smith,21.2,100.8,6.51,89.2,8.0
EXP-0084,2024-03-24,Dr. Patel,23.4,99.9,6.62,77.3,5.3
EXP-0085,2024-03-25,Dr. Chen,29.4,97.0,6.55,76.9,6.6
EXP-0086,2024-03-26,Dr. Chen,23.2,102.2,6.54,91.1,7.7
EXP-0087,2024-03-27,Dr. Jones,25.2,97.8,7.36,76.7,7.1
EXP-0088,2024-03-28,Dr. Smith,27.0,95.2,7.2,93.9,3.5
EXP-0089,2024-03-29,Dr. Patel,23.6,101.5,6.97,91.2,4.7
EXP-0090,2024-03-30,Dr. Jones,29.7,96.8,6.6,76.9,2.8
EXP-0091,2024-03-31,Dr. Patel,29.6,104.4,6.99,77.0,7.7
EXP-0092,2024-04-01,Dr. Patel,22.5,104.5,6.97,97.7,5.6
EXP-0093,2024-04-02,Dr. Jones,25.0,104.1,6.67,83.6,3.4
EXP-0094,2024-04-03,Dr. Jones,23.0,98.7,6.93,83.5,6.0
EXP-0095,2024-04-04,Dr. Jones,22.8,95.2,6.9,93.7,5.7
EXP-0096,2024-04-05,Dr. Jones,20.4,104.3,7.12,96.8,4.1
EXP-0097,2024-04-06,Dr. Jones,26.1,99.3,7.14,97.7,2.7
EXP-0098,2024-04-07,Dr. Patel,25.0,104.7,6.55,92.3,6.0
EXP-0099,2024-04-08,Dr. Jones,20.5,104.6,6.87,83.7,5.1
EXP-0100,2024-04-09,Dr. Smith,22.8,103.5,7.13,76.9,6.6
